txhash,drawn,unknown,all_positive,eth_profit,profit_graph,profit_calcs
0xcb51c651f15af6f541a598bf1777c351e4f413f957b75a933b965a081e918ea5,False,True,True,0,[],{}
0x0465a8a7211f27cae81ea810fe00672ad4b6f7488e15ac42af19cbbca3f21aeb,False,True,True,0,[],{}
0x0f199de09117503ed1a67dd5354a03f5b43508bdd1d37a3ffd5bfdfa02ad2747,False,True,True,0,[],{}
0x3d0f581c035321d34e3f7762710997a3dc834c38dc28fa93c4d92eba7f05a9ac,False,True,True,0,[],{}
0x781c0942028acf62fe11f8484ed275ac8d7d068e7b04fdfa33c5fc07c7fadbe7,False,True,True,0,[],{}
0x03ec9f61b2a438119c4815f451c80488964c94c6b249904aadec4f40c5c0748b,False,True,True,0,[],{}
0xcdc94a100b7281d6fb7276b3958d844b74bec37fbd81aa6212f0cb52b3291552,False,True,True,0,[],{}
0x1ef3b0ffb16746861da8fb1ba1075af1b1e147dc590a147767daab991ffcd3cd,False,True,True,0,[],{}
0xfa1dc51d97a9910db467ed9b82fed440d103ad6882f8bbd4de78eac3fc6fd6a7,False,True,True,0,[],{}
0xb137484ddf4ab09a1d7c1476cc3d74288ac81b8e51ee7969175a1cf1c08e77c3,False,True,True,0,[],{}
0xd171e351a70f56f5732c2d7ed8ee8f82e2372c3df34a30091887860c0403afed,False,True,True,0,[],{}
0xf60dad4023a548d38ad7957ce643372e105b2fbb9560ea6614ff26efc9fc86ee,False,True,True,0,[],{}
0xf8a8e460b3f7f810a96882d62f6133db091a4225f3d582f67b42e73d3b821f92,False,True,True,0,[],{}
0xb487d29727c82b2a0f299ec523c5834eabca2a68d8a663cae37e80c7a2c16b66,False,True,True,0,[],{}
0x0ae93e97e2721365a91a1ceeecb76ce31f9ef83ff7903fe71084e99f3b0cbc28,False,True,True,0,[],{}
0x5c36316544adb42e60aaf3cb0458a4a76daa6697dca9abf7a84cb5ce9c34ec68,False,True,True,0,[],{}
0x1dcf70796d79aca7d3f18758f94e4de7804e15b62b27713934b994053f4fee2e,False,True,True,0,[],{}
0x36fd76547892482c02bcf1a36d003be9b46be124ba7050771fd2d85472224e16,False,True,True,0,[],{}
0xbc9c330bc4828cb231bdc0199283fd9f2b1b6618f98b4b5031ffa7ed2444f1af,False,True,True,0,[],{}
0x5ca7fd268ce4bca743f1bc27d44520877369bf257bc62013eef56fb730cfc5af,False,True,True,0,[],{}
0x9d197ed0dff1fb208cd46bba4c2c4eeab302dbfc4ae45df213a03754699cb754,False,True,True,0,[],{}
0x05e5c1c0257d03f6a360ba81280aea413a44124d4039de94e5a0897cce64fe74,False,True,True,0,[],{}
0xf6893b1957af0aafa4535fd7732e1e2d9cf65f3fb9a329fbaa0fa5bebfce80f6,False,True,True,0,[],{}
0x3db104aad42608096a41fb7fa5a1f600d776fa9818a8e1a0c2bea85baee15ba2,False,True,True,0,[],{}
0x91bbc5bc567db5bbe9e055a741a31c57dbd29f089e826a8af4ab69b4148d09c1,False,True,True,0,[],{}
0xbd77ff562dee9f4966052be87e3e1af8492dbf68379dfbba9f615fde4ad9d1fd,False,True,True,0,[],{}
0x7318af7e55a88ca112d8577acaee57a9b82fca623cf458d7733d1b14c36ec46a,False,True,True,0,[],{}
0x5488e953d6451e79a599b513db8e179ff5ffe955f3020d407561d411243d6fc9,False,True,True,0,[],{}
0x9bcfeb1a2960232e78015d476ddaf1d9320dc0fda74ce62cef9c7b502e0f6e7b,False,True,True,0,[],{}
0x9dcc48b651a6b0264f0cd74be2fe62790800712be957b0d2ba156cde5e0d768c,False,True,True,0,[],{}
0x86cfc58665724d42b0690329521679cff12c2e671c69750e4ed11e2bc31f526b,False,True,True,0,[],{}
0x92443d9ac57a606e8680e49c9c6cf8f27ca66cb990ee2ce457a88f5ee11c150e,False,True,True,0,[],{}
0x773b1dd6120678ab0207873d4075231869f02cf2ecb5881de1b48e7246c15bc7,False,True,True,0,[],{}
0x4bd7c65fb84dc412d6a1a50a7a84bcc79aa2c261149458a0d060eca4544c50c8,False,True,True,0,[],{}
0xca455ac13f759869b1b37ac026e25bc7877b97a8d093593ab1f64d5bc8176d08,False,True,True,0,[],{}
0x9d8f8a27332e0d6b11694aa7915e41c7b0fc84bc2238841b37f50329531cd7a5,False,True,True,0,[],{}
0x6fd22ca6a57a72f4dc97872cedd3944940034b9f48db271dbb801e4626a5a7d3,False,True,True,0,[],{}
0x3388e901e9133715ebc257557ae3ee9d1fb3ebaf6910c46142aa3c4bdca4bd65,False,True,True,0,[],{}
0x9b30345609be8bf01eccf5bfe05bd15d74a9926b07060d615ffdf5910d00b225,False,True,True,0,[],{}
0x161b6f01429d6daf5ceef6d5228ceebcc2e58aef4a7e584402fa0e0ae1208a44,False,True,True,0,[],{}
0x071b0822479078941d0e613932e285c1cd483d430d0cb8cd9920c4a860c145c9,False,True,True,0,[],{}
